confidence,precision,recall,fp,tp,fn
0.0,0.05747126436781609,0.8542141230068337,6150,375,64
0.02,0.05747126436781609,0.8542141230068337,6150,375,64
0.04,0.05747126436781609,0.8542141230068337,6150,375,64
0.06,0.05747126436781609,0.8542141230068337,6150,375,64
0.08,0.05747126436781609,0.8542141230068337,6150,375,64
0.1,0.05747126436781609,0.8542141230068337,6150,375,64
0.12,0.05747126436781609,0.8542141230068337,6150,375,64
0.14,0.05747126436781609,0.8542141230068337,6150,375,64
0.16,0.05747126436781609,0.8542141230068337,6150,375,64
0.18,0.05753298557839828,0.8542141230068337,6143,375,64
0.2,0.05792400370713624,0.8542141230068337,6099,375,64
0.22,0.060410272976901956,0.8538812785388128,5817,374,64
0.24,0.06556802244039271,0.8519362186788155,5330,374,65
0.26,0.07701889142619887,0.8431818181818181,4446,371,69
0.28,0.09187981127390117,0.8371040723981901,3657,370,72
0.3,0.11324257425742575,0.8299319727891157,2866,366,75
0.32,0.14102064666926373,0.8190045248868778,2205,362,80
0.34,0.17368166424770198,0.8085585585585585,1708,359,85
0.36,0.19732441471571907,0.7955056179775281,1440,354,91
0.38,0.23228882833787465,0.7680180180180181,1127,341,103
0.4,0.2546583850931677,0.7404063205417607,960,328,115
0.42,0.2617283950617284,0.7130044843049327,897,318,128
0.44,0.2736363636363636,0.6794582392776524,799,301,142
0.46,0.2753623188405797,0.6418918918918919,750,285,159
0.48,0.27760891590678827,0.6199095022624435,713,274,168
0.5,0.28335170893054024,0.5854214123006833,650,257,182
0.52,0.28870779976717115,0.5636363636363636,611,248,192
0.54,0.30522088353413657,0.5277777777777778,519,228,204
0.56,0.29640287769784174,0.48470588235294115,489,206,219
0.58,0.3126984126984127,0.4592074592074592,433,197,232
0.6,0.31438127090301005,0.4351851851851852,410,188,244
0.62,0.31485148514851485,0.3663594470046083,346,159,275
0.64,0.32421052631578945,0.35079726651480636,321,154,285
0.66,0.33649289099526064,0.31910112359550563,280,142,303
0.68,0.32642487046632124,0.2863636363636364,260,126,314
0.7000000000000001,0.3407821229050279,0.2785388127853881,236,122,316
0.72,0.3482758620689655,0.23059360730593606,189,101,337
0.74,0.3568627450980392,0.2072892938496583,164,91,348
0.76,0.35344827586206895,0.18594104308390022,150,82,359
0.78,0.3480392156862745,0.16063348416289594,133,71,371
0.8,0.3611111111111111,0.14705882352941177,115,65,377
0.8200000000000001,0.35542168674698793,0.1334841628959276,107,59,383
0.84,0.3819444444444444,0.125,89,55,385
0.86,0.4,0.11363636363636363,75,50,390
0.88,0.37735849056603776,0.09153318077803203,66,40,397
0.9,0.3645833333333333,0.08027522935779817,61,35,401
0.92,0.35365853658536583,0.06666666666666667,53,29,406
0.9400000000000001,0.38235294117647056,0.059496567505720827,42,26,411
0.96,0.38333333333333336,0.05227272727272727,37,23,417
0.98,0.3584905660377358,0.043478260869565216,34,19,418
