confidence,precision,recall,fp,tp,fn
0.0,0.08035048471290082,0.9862700228832952,4933,431,6
0.02,0.08035048471290082,0.9862700228832952,4933,431,6
0.04,0.08083270817704426,0.9862700228832952,4901,431,6
0.06,0.09294802674142764,0.9840182648401826,4206,431,7
0.08,0.11983240223463687,0.9816933638443935,3151,429,8
0.1,0.16310975609756098,0.9749430523917996,2196,428,11
0.12,0.2137862137862138,0.9661399548532731,1574,428,15
0.14,0.2308108108108108,0.963882618510158,1423,427,16
0.16,0.24853801169590642,0.9593679458239278,1285,425,18
0.18,0.26273291925465836,0.9527027027027027,1187,423,21
0.2,0.2708066581306018,0.9527027027027027,1139,423,21
0.22,0.29907866761162294,0.9525959367945824,989,422,21
0.24,0.3079736649597659,0.9503386004514672,946,421,22
0.26,0.34039087947882735,0.9372197309417041,810,418,28
0.28,0.3481917577796468,0.9303370786516854,775,414,31
0.3,0.3739763421292084,0.9194630872483222,688,411,36
0.32,0.39101338432122373,0.9170403587443946,637,409,37
0.34,0.40078973346495556,0.9082774049217002,607,406,41
0.36,0.4465478841870824,0.8852097130242825,497,401,52
0.38,0.4580941446613088,0.8788546255506607,472,399,55
0.4,0.47607655502392343,0.8708971553610503,438,398,59
0.42,0.48941469489414696,0.8637362637362638,410,393,62
0.44,0.5065104166666666,0.8587196467991169,379,389,64
0.46,0.5155615696887687,0.844789356984479,358,381,70
0.48,0.5325779036827195,0.8374164810690423,330,376,73
0.5,0.5547112462006079,0.8147321428571429,293,365,83
0.52,0.5718849840255591,0.7973273942093542,268,358,91
0.54,0.589527027027027,0.7790178571428571,243,349,99
0.56,0.6036036036036037,0.7494407158836689,220,335,112
0.58,0.6198830409356725,0.7194570135746606,195,318,124
0.6,0.6198830409356725,0.7194570135746606,195,318,124
0.62,0.6451612903225806,0.6756756756756757,165,300,144
0.64,0.6723300970873787,0.6196868008948546,135,277,170
0.66,0.7029972752043597,0.5707964601769911,109,258,194
0.68,0.7099697885196374,0.5210643015521065,96,235,216
0.7000000000000001,0.7099697885196374,0.5210643015521065,96,235,216
0.72,0.7147766323024055,0.45916114790286977,83,208,245
0.74,0.7246963562753036,0.3977777777777778,68,179,271
0.76,0.7348837209302326,0.3518930957683742,57,158,291
0.78,0.7348837209302326,0.3518930957683742,57,158,291
0.8,0.7346938775510204,0.32,52,144,306
0.8200000000000001,0.7161290322580646,0.251131221719457,44,111,331
0.84,0.7089552238805971,0.2164009111617312,39,95,344
0.86,0.6929824561403509,0.18036529680365296,35,79,359
0.88,0.6929824561403509,0.18036529680365296,35,79,359
0.9,0.7128712871287128,0.16363636363636364,29,72,368
0.92,0.7191011235955056,0.14578587699316628,25,64,375
0.9400000000000001,0.7191011235955056,0.14578587699316628,25,64,375
0.96,0.6379310344827587,0.08486238532110092,21,37,399
0.98,0.625,0.05707762557077625,15,25,413
