confidence,precision,recall,fp,tp,fn
0.0,0.03470639789658195,0.45,5507,198,242
0.02,0.03470639789658195,0.45,5507,198,242
0.04,0.03470639789658195,0.45,5507,198,242
0.06,0.03470639789658195,0.45,5507,198,242
0.08,0.03470639789658195,0.45,5507,198,242
0.1,0.03470639789658195,0.45,5507,198,242
0.12,0.03470639789658195,0.45,5507,198,242
0.14,0.03496380010595091,0.45,5465,198,242
0.16,0.037638517386320215,0.44874715261959,5037,197,242
0.18,0.04603828446813666,0.43478260869565216,3937,190,247
0.2,0.0536231884057971,0.4233409610983982,3265,185,252
0.22,0.06198910081743869,0.4145785876993166,2754,182,257
0.24,0.06750572082379863,0.4022727272727273,2445,177,263
0.26,0.07553798858146685,0.3917995444191344,2105,172,267
0.28,0.08082257293161167,0.38496583143507973,1922,169,270
0.3,0.08654353562005276,0.37272727272727274,1731,164,276
0.32,0.09373134328358208,0.35926773455377575,1518,157,280
0.34,0.10432395332875773,0.3486238532110092,1305,152,284
0.36,0.11307692307692307,0.33715596330275227,1153,147,289
0.38,0.13358070500927643,0.3295194508009153,934,144,293
0.4,0.15359116022099448,0.31662870159453305,766,139,300
0.42,0.16727272727272727,0.3143507972665148,687,138,301
0.44,0.18041958041958042,0.2958715596330275,586,129,307
0.46,0.19142419601837674,0.286697247706422,528,125,311
0.48,0.21228070175438596,0.27816091954022987,449,121,314
0.5,0.2126865671641791,0.2632794457274827,422,114,319
0.52,0.216,0.25,392,108,324
0.54,0.23529411764705882,0.23963133640552994,338,104,330
0.56,0.2457002457002457,0.23201856148491878,307,100,331
0.58,0.26243093922651933,0.21939953810623555,267,95,338
0.6,0.26426426426426425,0.2037037037037037,245,88,344
0.62,0.2715654952076677,0.19630484988452657,228,85,348
0.64,0.27303754266211605,0.18475750577367206,213,80,353
0.66,0.28112449799196787,0.16129032258064516,179,70,364
0.68,0.2803347280334728,0.15473441108545036,172,67,366
0.7000000000000001,0.2995391705069124,0.14942528735632185,152,65,370
0.72,0.30256410256410254,0.1359447004608295,136,59,375
0.74,0.30687830687830686,0.1336405529953917,131,58,376
0.76,0.3050847457627119,0.12442396313364056,123,54,380
0.78,0.29518072289156627,0.11238532110091744,117,49,387
0.8,0.3053435114503817,0.09174311926605505,91,40,396
0.8200000000000001,0.2773109243697479,0.07603686635944701,86,33,401
0.84,0.29357798165137616,0.07373271889400922,77,32,402
0.86,0.2916666666666667,0.06436781609195402,68,28,407
0.88,0.2911392405063291,0.052752293577981654,56,23,413
0.9,0.2916666666666667,0.04805491990846682,51,21,416
0.92,0.27586206896551724,0.03644646924829157,42,16,423
0.9400000000000001,0.2692307692307692,0.03189066059225513,38,14,425
0.96,0.24444444444444444,0.02517162471395881,34,11,426
0.98,0.17857142857142858,0.011494252873563218,23,5,430
