confidence,precision,recall,fp,tp,fn
0.0,0.0500322788896062,0.7077625570776256,5886,310,128
0.02,0.0500322788896062,0.7077625570776256,5886,310,128
0.04,0.07151149291850475,0.7031963470319634,3999,308,130
0.06,0.10484702646957718,0.6963470319634704,2604,305,133
0.08,0.1330998248686515,0.6909090909090909,1980,304,136
0.1,0.1591987348444913,0.6863636363636364,1595,302,138
0.12,0.19390402075226978,0.6780045351473923,1243,299,142
0.14,0.21704297159504735,0.6742081447963801,1075,298,144
0.16,0.24894869638351555,0.671201814058957,893,296,145
0.18,0.2832369942196532,0.665158371040724,744,294,148
0.2,0.29282868525896416,0.6636568848758465,710,294,149
0.22,0.3208791208791209,0.6547085201793722,618,292,154
0.24,0.32655367231638416,0.6465324384787472,596,289,158
0.26,0.3348891481913652,0.640625,570,287,161
0.28,0.3413751507840772,0.6274944567627494,546,283,168
0.3,0.34875,0.62,521,279,171
0.32,0.3524173027989822,0.6155555555555555,509,277,173
0.34,0.35844155844155845,0.6133333333333333,494,276,174
0.36,0.363265306122449,0.5959821428571429,468,267,181
0.38,0.3687845303867403,0.5959821428571429,457,267,181
0.4,0.3755334281650071,0.5879732739420935,439,264,185
0.42,0.3863298662704309,0.5739514348785872,413,260,193
0.44,0.3893129770992366,0.5641592920353983,400,255,197
0.46,0.3946540880503145,0.5577777777777778,385,251,199
0.48,0.3967741935483871,0.5503355704697986,374,246,201
0.5,0.4068965517241379,0.5291479820627802,344,236,210
0.52,0.418018018018018,0.5132743362831859,323,232,220
0.54,0.4343629343629344,0.49889135254988914,293,225,226
0.56,0.444672131147541,0.4822222222222222,271,217,233
0.58,0.448512585812357,0.4365256124721604,241,196,253
0.6,0.448512585812357,0.4365256124721604,241,196,253
0.62,0.46851385390428213,0.41517857142857145,211,186,262
0.64,0.47956403269754766,0.39373601789709173,191,176,271
0.66,0.4911242603550296,0.3713646532438479,172,166,281
0.68,0.5,0.34451901565995524,154,154,293
0.7000000000000001,0.5,0.34451901565995524,154,154,293
0.72,0.5074074074074074,0.309255079006772,133,137,306
0.74,0.5021097046413502,0.2686230248306998,118,119,324
0.76,0.526829268292683,0.24545454545454545,97,108,332
0.78,0.526829268292683,0.24545454545454545,97,108,332
0.8,0.5274725274725275,0.21967963386727687,86,96,341
0.8200000000000001,0.5684931506849316,0.18863636363636363,63,83,357
0.84,0.5581395348837209,0.16400911161731208,57,72,367
0.86,0.5555555555555556,0.13729977116704806,48,60,377
0.88,0.5555555555555556,0.13729977116704806,48,60,377
0.9,0.5681818181818182,0.11467889908256881,38,50,386
0.92,0.5466666666666666,0.09490740740740741,34,41,391
0.9400000000000001,0.5466666666666666,0.09490740740740741,34,41,391
0.96,0.5471698113207547,0.06697459584295612,24,29,404
0.98,0.5652173913043478,0.05963302752293578,20,26,410
