confidence,precision,recall,fp,tp,fn
0.0,0.08437256430241621,0.9885844748858448,4699,433,5
0.02,0.08437256430241621,0.9885844748858448,4699,433,5
0.04,0.08490196078431372,0.9885844748858448,4667,433,5
0.06,0.09805253623188406,0.9863325740318907,3983,433,6
0.08,0.12725125479775612,0.9840182648401826,2956,431,7
0.1,0.17630176301763018,0.9772727272727273,2009,430,10
0.12,0.23510114816839803,0.9706546275395034,1399,430,13
0.14,0.2549019607843137,0.9683972911963883,1254,429,14
0.16,0.2753062540296583,0.963882618510158,1124,427,16
0.18,0.2920962199312715,0.9572072072072072,1030,425,19
0.2,0.3016323633782825,0.9572072072072072,984,425,19
0.22,0.334913112164297,0.9571106094808126,842,424,19
0.24,0.3439282803585982,0.9525959367945824,805,422,21
0.26,0.38440366972477064,0.9394618834080718,671,419,27
0.28,0.39448669201520914,0.9325842696629213,637,415,30
0.3,0.4241486068111455,0.92152466367713,558,411,35
0.32,0.4436008676789588,0.9191011235955057,513,409,36
0.34,0.4566929133858268,0.9103139013452914,483,406,40
0.36,0.51213282247765,0.8871681415929203,382,401,51
0.38,0.525,0.8807947019867549,361,399,54
0.4,0.547455295735901,0.8728070175438597,329,398,58
0.42,0.5636623748211731,0.865934065934066,305,394,61
0.44,0.5829596412556054,0.8609271523178808,279,390,63
0.46,0.5913312693498453,0.8470066518847007,264,382,69
0.48,0.607085346215781,0.8396436525612472,244,377,72
0.5,0.6299483648881239,0.8151447661469933,215,366,83
0.52,0.64568345323741,0.799554565701559,197,359,90
0.54,0.6591337099811676,0.78125,181,350,98
0.56,0.6706586826347305,0.75,165,336,112
0.58,0.6772823779193206,0.7200902934537246,152,319,124
0.6,0.6772823779193206,0.7200902934537246,152,319,124
0.62,0.6951501154734411,0.6764044943820224,132,301,144
0.64,0.7102564102564103,0.6196868008948546,113,277,170
0.66,0.7267605633802817,0.5707964601769911,97,258,194
0.68,0.7217125382262997,0.5232815964523282,91,236,215
0.7000000000000001,0.7217125382262997,0.5232815964523282,91,236,215
0.72,0.7231833910034602,0.4613686534216336,80,209,244
0.74,0.7276422764227642,0.3977777777777778,67,179,271
0.76,0.7348837209302326,0.3518930957683742,57,158,291
0.78,0.7348837209302326,0.3518930957683742,57,158,291
0.8,0.7346938775510204,0.32,52,144,306
0.8200000000000001,0.7161290322580646,0.251131221719457,44,111,331
0.84,0.7089552238805971,0.2164009111617312,39,95,344
0.86,0.6929824561403509,0.18036529680365296,35,79,359
0.88,0.6929824561403509,0.18036529680365296,35,79,359
0.9,0.7128712871287128,0.16363636363636364,29,72,368
0.92,0.7191011235955056,0.14578587699316628,25,64,375
0.9400000000000001,0.7191011235955056,0.14578587699316628,25,64,375
0.96,0.6379310344827587,0.08486238532110092,21,37,399
0.98,0.625,0.05707762557077625,15,25,413
