confidence,precision,recall,fp,tp,fn
0.0,0.06283773351860429,0.9334862385321101,6070,407,29
0.02,0.06283773351860429,0.9334862385321101,6070,407,29
0.04,0.06283773351860429,0.9334862385321101,6070,407,29
0.06,0.06283773351860429,0.9334862385321101,6070,407,29
0.08,0.06283773351860429,0.9334862385321101,6070,407,29
0.1,0.06283773351860429,0.9334862385321101,6070,407,29
0.12,0.06283773351860429,0.9334862385321101,6070,407,29
0.14,0.06283773351860429,0.9334862385321101,6070,407,29
0.16,0.06283773351860429,0.9334862385321101,6070,407,29
0.18,0.06290571870170016,0.9334862385321101,6063,407,29
0.2,0.06333644568938687,0.9334862385321101,6019,407,29
0.22,0.06604847893281275,0.9333333333333333,5741,406,29
0.24,0.07154213036565978,0.9288990825688074,5256,405,31
0.26,0.08387366659694624,0.9197247706422018,4380,401,35
0.28,0.09989984977466199,0.910958904109589,3595,399,39
0.3,0.12262090483619345,0.8972602739726028,2812,393,45
0.32,0.1524557956777996,0.8858447488584474,2157,388,50
0.34,0.18612603810454323,0.8678815489749431,1666,381,58
0.36,0.20978627671541059,0.8496583143507973,1405,373,66
0.38,0.24656593406593408,0.8140589569160998,1097,359,82
0.4,0.2711598746081505,0.7845804988662132,930,346,95
0.42,0.2799003322259136,0.759009009009009,867,337,107
0.44,0.2906764168190128,0.7194570135746606,776,318,124
0.46,0.2948593598448109,0.6877828054298643,727,304,138
0.48,0.2990844354018311,0.665158371040724,689,294,148
0.5,0.3053097345132743,0.6287015945330297,628,276,163
0.52,0.3103850641773629,0.6031746031746031,591,266,175
0.54,0.3257372654155496,0.5599078341013825,503,243,191
0.56,0.31412103746397696,0.5093457943925234,476,218,210
0.58,0.33068362480127184,0.48148148148148145,421,208,224
0.6,0.3333333333333333,0.45642201834862384,398,199,237
0.62,0.3326732673267327,0.38443935926773454,337,168,269
0.64,0.3410526315789474,0.3673469387755102,313,162,279
0.66,0.35071090047393366,0.33109619686800895,274,148,299
0.68,0.34196891191709844,0.2986425339366516,254,132,310
0.7000000000000001,0.3547486033519553,0.28929384965831434,231,127,312
0.72,0.3620689655172414,0.23972602739726026,185,105,333
0.74,0.3686274509803922,0.214123006833713,161,94,345
0.76,0.36637931034482757,0.1927437641723356,147,85,356
0.78,0.3627450980392157,0.167420814479638,130,74,368
0.8,0.37222222222222223,0.1515837104072398,113,67,375
0.8200000000000001,0.3674698795180723,0.13800904977375567,105,61,381
0.84,0.3819444444444444,0.1252847380410023,89,55,384
0.86,0.4,0.11389521640091116,75,50,389
0.88,0.37735849056603776,0.09174311926605505,66,40,396
0.9,0.3645833333333333,0.08045977011494253,61,35,400
0.92,0.35365853658536583,0.06682027649769585,53,29,405
0.9400000000000001,0.38235294117647056,0.05963302752293578,42,26,410
0.96,0.38333333333333336,0.05239179954441914,37,23,416
0.98,0.3584905660377358,0.04357798165137615,34,19,417
