confidence,precision,recall,fp,tp,fn
0.0,0.07185430463576159,0.9886104783599089,5606,434,5
0.02,0.07185430463576159,0.9886104783599089,5606,434,5
0.04,0.1039461020211742,0.9840546697038725,3724,432,7
0.06,0.15582067968185104,0.9773242630385488,2335,431,10
0.08,0.19944082013047532,0.9661399548532731,1718,428,15
0.1,0.24049914917753829,0.954954954954955,1339,424,20
0.12,0.29978738483345146,0.950561797752809,988,423,22
0.14,0.33814102564102566,0.9461883408071748,826,422,24
0.16,0.3936269915651359,0.9438202247191011,647,420,25
0.18,0.4515778019586507,0.9367945823927766,504,415,28
0.2,0.4683972911963883,0.9325842696629213,471,415,30
0.22,0.5162907268170426,0.9217002237136466,386,412,35
0.24,0.5290322580645161,0.9172259507829977,365,410,37
0.26,0.5452127659574468,0.9131403118040089,342,410,39
0.28,0.5598349381017882,0.9024390243902439,320,407,44
0.3,0.5734664764621968,0.8913525498891353,299,402,49
0.32,0.5753623188405798,0.8822222222222222,293,397,53
0.34,0.5849335302806499,0.8741721854304636,281,396,57
0.36,0.5963020030816641,0.8619153674832962,262,387,62
0.38,0.6012461059190031,0.8596881959910914,256,386,63
0.4,0.6131621187800963,0.8470066518847007,241,382,69
0.42,0.6291946308724832,0.8241758241758241,221,375,80
0.44,0.6329331046312179,0.8145695364238411,214,369,84
0.46,0.6431095406360424,0.8053097345132744,202,364,88
0.48,0.648014440433213,0.7977777777777778,195,359,91
0.5,0.6628571428571428,0.7665198237885462,177,348,106
0.52,0.6778656126482213,0.7555066079295154,163,343,111
0.54,0.6847599164926931,0.7272727272727273,151,328,123
0.56,0.6909492273730684,0.6971046770601337,140,313,136
0.58,0.7090464547677262,0.6415929203539823,119,290,162
0.6,0.7090464547677262,0.6415929203539823,119,290,162
0.62,0.712,0.5959821428571429,108,267,181
0.64,0.72,0.5637583892617449,98,252,195
0.66,0.7186544342507645,0.5245535714285714,92,235,213
0.68,0.7166666666666667,0.48314606741573035,85,215,230
0.7000000000000001,0.7166666666666667,0.48314606741573035,85,215,230
0.72,0.7191011235955056,0.43537414965986393,75,192,249
0.74,0.711864406779661,0.38095238095238093,68,168,273
0.76,0.7254901960784313,0.33712984054669703,56,148,291
0.78,0.7254901960784313,0.33712984054669703,56,148,291
0.8,0.712707182320442,0.2958715596330275,52,129,307
0.8200000000000001,0.7103448275862069,0.23462414578587698,42,103,336
0.84,0.6953125,0.20273348519362186,39,89,350
0.86,0.6851851851851852,0.1689497716894977,34,74,364
0.88,0.6851851851851852,0.1689497716894977,34,74,364
0.9,0.6477272727272727,0.13073394495412843,31,57,379
0.92,0.6133333333333333,0.10623556581986143,29,46,387
0.9400000000000001,0.6133333333333333,0.10623556581986143,29,46,387
0.96,0.6037735849056604,0.07373271889400922,21,32,402
0.98,0.6086956521739131,0.06407322654462243,18,28,409
