confidence,precision,recall,fp,tp,fn
0.0,0.07602764641687887,0.9414414414414415,5080,418,26
0.02,0.07602764641687887,0.9414414414414415,5080,418,26
0.04,0.07602764641687887,0.9414414414414415,5080,418,26
0.06,0.07602764641687887,0.9414414414414415,5080,418,26
0.08,0.07602764641687887,0.9414414414414415,5080,418,26
0.1,0.07602764641687887,0.9414414414414415,5080,418,26
0.12,0.07602764641687887,0.9414414414414415,5080,418,26
0.14,0.07641561297416163,0.9391891891891891,5040,417,27
0.16,0.08247422680412371,0.9369369369369369,4628,416,28
0.18,0.10418768920282542,0.9322799097065463,3551,413,30
0.2,0.12352763515554213,0.9211711711711712,2902,409,35
0.22,0.14468538926413083,0.9105145413870246,2406,407,40
0.24,0.15977742448330684,0.8933333333333333,2114,402,48
0.26,0.18041002277904328,0.8839285714285714,1799,396,52
0.28,0.19366022783556217,0.8688888888888889,1628,391,59
0.3,0.2088331515812432,0.8473451327433629,1451,383,69
0.32,0.23105360443622922,0.8314855875831486,1248,375,76
0.34,0.2577247191011236,0.8137472283813747,1057,367,84
0.36,0.2836990595611285,0.8008849557522124,914,362,90
0.38,0.33207190160832545,0.7765486725663717,706,351,101
0.4,0.37907761529808776,0.7390350877192983,552,337,119
0.42,0.4074074074074074,0.7252747252747253,480,330,125
0.44,0.4446022727272727,0.6971046770601337,391,313,136
0.46,0.47360248447204967,0.6792873051224945,339,305,144
0.48,0.5124113475177305,0.6465324384787472,275,289,158
0.5,0.5178236397748592,0.6216216216216216,257,276,168
0.52,0.5130784708249497,0.5821917808219178,242,255,183
0.54,0.5466970387243736,0.54421768707483,199,240,201
0.56,0.5693069306930693,0.5215419501133787,174,230,211
0.58,0.5828729281767956,0.47845804988662133,151,211,230
0.6,0.6006006006006006,0.45351473922902497,133,200,241
0.62,0.6070287539936102,0.4308390022675737,123,190,251
0.64,0.6177474402730375,0.41043083900226757,112,181,260
0.66,0.6024096385542169,0.3409090909090909,99,150,290
0.68,0.602510460251046,0.32801822323462415,95,144,295
0.7000000000000001,0.6221198156682027,0.3054298642533937,82,135,307
0.72,0.6205128205128205,0.2768878718535469,74,121,316
0.74,0.6243386243386243,0.2694063926940639,71,118,320
0.76,0.6271186440677966,0.25227272727272726,66,111,329
0.78,0.6325301204819277,0.23809523809523808,61,105,336
0.8,0.6412213740458015,0.19047619047619047,47,84,357
0.8200000000000001,0.6218487394957983,0.16818181818181818,45,74,366
0.84,0.6238532110091743,0.1552511415525114,41,68,370
0.86,0.625,0.136986301369863,36,60,378
0.88,0.6455696202531646,0.11617312072892938,28,51,388
0.9,0.6666666666666666,0.10909090909090909,24,48,392
0.92,0.6551724137931034,0.08636363636363636,20,38,402
0.9400000000000001,0.6730769230769231,0.07936507936507936,17,35,406
0.96,0.6222222222222222,0.06407322654462243,17,28,409
0.98,0.5714285714285714,0.0367816091954023,12,16,419
