confidence,precision,recall,fp,tp,fn
0.0,0.03540495365445981,0.5319634703196348,6348,233,205
0.02,0.03540495365445981,0.5319634703196348,6348,233,205
0.04,0.03540495365445981,0.5319634703196348,6348,233,205
0.06,0.03540495365445981,0.5319634703196348,6348,233,205
0.08,0.03540495365445981,0.5319634703196348,6348,233,205
0.1,0.03540495365445981,0.5319634703196348,6348,233,205
0.12,0.03540495365445981,0.5319634703196348,6348,233,205
0.14,0.03540495365445981,0.5319634703196348,6348,233,205
0.16,0.03540495365445981,0.5319634703196348,6348,233,205
0.18,0.03544265287496197,0.5319634703196348,6341,233,205
0.2,0.035681470137825425,0.5319634703196348,6297,233,205
0.22,0.03714377201408902,0.5308924485125858,6014,232,205
0.24,0.040132036136205695,0.5273972602739726,5525,231,207
0.26,0.04733484256019757,0.5251141552511416,4629,230,208
0.28,0.056552741578559135,0.5215419501133787,3837,230,211
0.3,0.06954656862745098,0.5147392290249433,3037,227,214
0.32,0.08702348864073932,0.5124716553287982,2371,226,215
0.34,0.1076555023923445,0.5102040816326531,1865,225,216
0.36,0.12189740761169332,0.5011337868480725,1592,221,220
0.38,0.1447811447811448,0.48642533936651583,1270,215,227
0.4,0.15910837817063797,0.47045454545454546,1094,207,233
0.42,0.1657142857142857,0.4603174603174603,1022,203,238
0.44,0.17705510388437218,0.4434389140271493,911,196,246
0.46,0.1798076923076923,0.42403628117913833,853,187,254
0.48,0.18668012108980828,0.41950113378684806,806,185,256
0.5,0.1945054945054945,0.4022727272727273,733,177,263
0.52,0.2,0.3891402714932127,688,172,270
0.54,0.2192513368983957,0.3744292237442922,584,164,274
0.56,0.22126436781609196,0.3548387096774194,542,154,280
0.58,0.2329635499207607,0.33793103448275863,484,147,288
0.6,0.2337228714524207,0.3218390804597701,459,140,295
0.62,0.24158415841584158,0.2798165137614679,383,122,314
0.64,0.24842105263157896,0.2681818181818182,357,118,322
0.66,0.26066350710900477,0.24830699774266365,312,110,333
0.68,0.25906735751295334,0.22727272727272727,286,100,340
0.7000000000000001,0.2737430167597765,0.22323462414578588,260,98,341
0.72,0.28620689655172415,0.18949771689497716,207,83,355
0.74,0.29411764705882354,0.17123287671232876,180,75,363
0.76,0.3017241379310345,0.15945330296127563,162,70,369
0.78,0.28921568627450983,0.1340909090909091,145,59,381
0.8,0.3,0.12272727272727273,126,54,386
0.8200000000000001,0.29518072289156627,0.11136363636363636,117,49,391
0.84,0.3263888888888889,0.10730593607305935,97,47,391
0.86,0.344,0.0979498861047836,82,43,396
0.88,0.32075471698113206,0.0779816513761468,72,34,402
0.9,0.3020833333333333,0.06666666666666667,67,29,406
0.92,0.2926829268292683,0.055299539170506916,58,24,410
0.9400000000000001,0.3088235294117647,0.0481651376146789,47,21,415
0.96,0.3,0.0410958904109589,42,18,420
0.98,0.2641509433962264,0.03218390804597701,39,14,421
