confidence,precision,recall,fp,tp,fn
0.0,0.07235313640889479,0.9931662870159453,5590,436,3
0.02,0.07235313640889479,0.9931662870159453,5590,436,3
0.04,0.10497104247104247,0.9908883826879271,3709,435,4
0.06,0.15758896151053015,0.9841269841269841,2320,434,7
0.08,0.20196813495782567,0.9729119638826185,1703,431,12
0.1,0.2437214611872146,0.9617117117117117,1325,427,17
0.12,0.30385164051355207,0.9573033707865168,976,426,19
0.14,0.34301856335754644,0.952914798206278,814,425,21
0.16,0.3998109640831758,0.950561797752809,635,423,22
0.18,0.4582417582417582,0.9413092550790068,493,417,26
0.2,0.475484606613455,0.9370786516853933,460,417,28
0.22,0.5247148288973384,0.9261744966442953,375,414,33
0.24,0.5378590078328982,0.9217002237136466,354,412,35
0.26,0.5545087483176312,0.9175946547884187,331,412,37
0.28,0.5696378830083565,0.9068736141906873,309,409,42
0.3,0.5838150289017341,0.8957871396895787,288,404,47
0.32,0.5859030837004405,0.8866666666666667,282,399,51
0.34,0.5958083832335329,0.8785871964679912,270,398,55
0.36,0.609375,0.8666666666666667,250,390,60
0.38,0.6145339652448657,0.8644444444444445,244,389,61
0.4,0.6270358306188925,0.8517699115044248,229,385,67
0.42,0.6439522998296422,0.8289473684210527,209,378,78
0.44,0.6463414634146342,0.8189845474613686,203,371,82
0.46,0.6559139784946236,0.8097345132743363,192,366,86
0.48,0.6611721611721612,0.8022222222222222,185,361,89
0.5,0.6769825918762089,0.7726269315673289,167,350,103
0.52,0.69,0.7615894039735099,155,345,108
0.54,0.6976744186046512,0.7333333333333333,143,330,120
0.56,0.7046979865771812,0.7015590200445434,132,315,134
0.58,0.7245657568238213,0.6460176991150443,111,292,160
0.6,0.7245657568238213,0.6460176991150443,111,292,160
0.62,0.7277628032345014,0.6040268456375839,101,270,177
0.64,0.7319884726224783,0.5695067264573991,93,254,192
0.66,0.7323076923076923,0.5336322869955157,87,238,208
0.68,0.7315436241610739,0.49099099099099097,80,218,226
0.7000000000000001,0.7315436241610739,0.49099099099099097,80,218,226
0.72,0.7330827067669173,0.4421768707482993,71,195,246
0.74,0.723404255319149,0.3854875283446712,65,170,271
0.76,0.7339901477832512,0.33940774487471526,54,149,290
0.78,0.7339901477832512,0.33940774487471526,54,149,290
0.8,0.7222222222222222,0.2981651376146789,50,130,306
0.8200000000000001,0.7172413793103448,0.23690205011389523,41,104,335
0.84,0.703125,0.20501138952164008,38,90,349
0.86,0.6944444444444444,0.17123287671232876,33,75,363
0.88,0.6944444444444444,0.17123287671232876,33,75,363
0.9,0.6590909090909091,0.13302752293577982,30,58,378
0.92,0.6266666666666667,0.10854503464203233,28,47,386
0.9400000000000001,0.6266666666666667,0.10854503464203233,28,47,386
0.96,0.6037735849056604,0.07373271889400922,21,32,402
0.98,0.6086956521739131,0.06407322654462243,18,28,409
