confidence,precision,recall,fp,tp,fn
0.0,0.06329827197595793,0.7659090909090909,4987,337,103
0.02,0.06329827197595793,0.7659090909090909,4987,337,103
0.04,0.06368102796674226,0.7659090909090909,4955,337,103
0.06,0.07326086956521739,0.7659090909090909,4263,337,103
0.08,0.09484942302279764,0.764172335600907,3216,337,104
0.1,0.12923076923076923,0.7584650112866818,2264,336,107
0.12,0.16818181818181818,0.748314606741573,1647,333,112
0.14,0.1815199562602515,0.7460674157303371,1497,332,113
0.16,0.19337670017740982,0.7331838565022422,1364,327,119
0.18,0.2028894472361809,0.7242152466367713,1269,323,123
0.2,0.20854922279792745,0.7203579418344519,1222,322,125
0.22,0.22779369627507162,0.7130044843049327,1078,318,128
0.24,0.2320768662232077,0.7040358744394619,1039,314,132
0.26,0.25761316872427986,0.6971046770601337,902,313,136
0.28,0.2627551020408163,0.6897321428571429,867,309,139
0.3,0.2809917355371901,0.6830357142857143,783,306,142
0.32,0.28998073217726394,0.6733780760626398,737,301,146
0.34,0.2965174129353234,0.6636971046770601,707,298,151
0.36,0.32471910112359553,0.6337719298245614,601,289,167
0.38,0.3302433371958285,0.6222707423580786,578,285,173
0.4,0.3413751507840772,0.6125541125541125,546,283,179
0.42,0.35257214554579674,0.6082251082251082,516,281,181
0.44,0.3617300131061599,0.5986984815618221,487,276,185
0.46,0.36462585034013606,0.5851528384279476,467,268,190
0.48,0.37037037037037035,0.5739514348785872,442,260,193
0.5,0.37767584097859325,0.5464601769911505,407,247,205
0.52,0.3868378812199037,0.5308370044052864,382,241,213
0.54,0.3938879456706282,0.5144124168514412,357,232,219
0.56,0.4003623188405797,0.49002217294900224,331,221,230
0.58,0.41568627450980394,0.4732142857142857,298,212,236
0.6,0.41568627450980394,0.4732142857142857,298,212,236
0.62,0.42424242424242425,0.43458980044345896,266,196,255
0.64,0.44282238442822386,0.4035476718403548,229,182,269
0.66,0.45081967213114754,0.3618421052631579,201,165,291
0.68,0.4652567975830816,0.33698030634573306,177,154,303
0.7000000000000001,0.4652567975830816,0.33698030634573306,177,154,303
0.72,0.4742268041237113,0.3006535947712418,153,138,321
0.74,0.4898785425101215,0.2665198237885463,126,121,333
0.76,0.5069767441860465,0.2411504424778761,106,109,343
0.78,0.5069767441860465,0.2411504424778761,106,109,343
0.8,0.5,0.2168141592920354,98,98,354
0.8200000000000001,0.4645161290322581,0.16143497757847533,83,72,374
0.84,0.43283582089552236,0.13122171945701358,76,58,384
0.86,0.42105263157894735,0.10884353741496598,66,48,393
0.88,0.42105263157894735,0.10884353741496598,66,48,393
0.9,0.44554455445544555,0.10227272727272728,56,45,395
0.92,0.449438202247191,0.09111617312072894,49,40,399
0.9400000000000001,0.449438202247191,0.09111617312072894,49,40,399
0.96,0.3793103448275862,0.05057471264367816,36,22,413
0.98,0.375,0.034324942791762014,25,15,422
