confidence,precision,recall,fp,tp,fn
0.0,0.022779043280182234,0.33783783783783783,6435,150,294
0.02,0.022779043280182234,0.33783783783783783,6435,150,294
0.04,0.022779043280182234,0.33783783783783783,6435,150,294
0.06,0.022779043280182234,0.33783783783783783,6435,150,294
0.08,0.022779043280182234,0.33783783783783783,6435,150,294
0.1,0.022779043280182234,0.33783783783783783,6435,150,294
0.12,0.022779043280182234,0.33783783783783783,6435,150,294
0.14,0.022779043280182234,0.33783783783783783,6435,150,294
0.16,0.022779043280182234,0.33783783783783783,6435,150,294
0.18,0.022803283672848892,0.33783783783783783,6428,150,294
0.2,0.02295684113865932,0.33783783783783783,6384,150,294
0.22,0.024,0.33783783783783783,6100,150,294
0.24,0.026041666666666668,0.33783783783783783,5610,150,294
0.26,0.030845157310302282,0.33783783783783783,4713,150,294
0.28,0.036855036855036855,0.33707865168539325,3920,150,295
0.3,0.04562155541947336,0.3348314606741573,3117,149,296
0.32,0.05694497883801462,0.3325842696629214,2451,148,297
0.34,0.07074569789674952,0.33183856502242154,1944,148,298
0.36,0.08044077134986226,0.3273542600896861,1669,146,300
0.38,0.09353970390309556,0.3116591928251121,1347,139,307
0.4,0.10299769408147579,0.30180180180180183,1167,134,310
0.42,0.10775510204081633,0.2972972972972973,1093,132,312
0.44,0.11382113821138211,0.28442437923250563,981,126,317
0.46,0.11538461538461539,0.27149321266968324,920,120,322
0.48,0.11907164480322906,0.2669683257918552,873,118,324
0.5,0.12527472527472527,0.2579185520361991,796,114,328
0.52,0.13023255813953488,0.25339366515837103,748,112,330
0.54,0.1443850267379679,0.24545454545454545,640,108,332
0.56,0.14798850574712644,0.23569794050343248,593,103,334
0.58,0.15689381933438987,0.22602739726027396,532,99,339
0.6,0.15525876460767946,0.21232876712328766,506,93,345
0.62,0.15841584158415842,0.1839080459770115,425,80,355
0.64,0.16421052631578947,0.1780821917808219,397,78,360
0.66,0.17061611374407584,0.16400911161731208,350,72,367
0.68,0.16580310880829016,0.14645308924485126,322,64,373
0.7000000000000001,0.17597765363128492,0.14416475972540047,295,63,374
0.72,0.1793103448275862,0.1187214611872146,238,52,386
0.74,0.1843137254901961,0.10730593607305935,208,47,391
0.76,0.1853448275862069,0.09862385321100918,189,43,393
0.78,0.18137254901960784,0.08428246013667426,167,37,402
0.8,0.18888888888888888,0.0774487471526196,146,34,405
0.8200000000000001,0.1746987951807229,0.06605922551252848,137,29,410
0.84,0.19444444444444445,0.0639269406392694,116,28,410
0.86,0.2,0.05694760820045558,100,25,414
0.88,0.19811320754716982,0.04794520547945205,85,21,417
0.9,0.1875,0.041189931350114416,78,18,419
0.92,0.18292682926829268,0.034403669724770644,67,15,421
0.9400000000000001,0.19117647058823528,0.02968036529680365,55,13,425
0.96,0.16666666666666666,0.0228310502283105,50,10,428
0.98,0.1509433962264151,0.01834862385321101,45,8,428
