confidence,precision,recall,fp,tp,fn
0.0,0.017017543859649122,0.21945701357466063,5603,97,345
0.02,0.017017543859649122,0.21945701357466063,5603,97,345
0.04,0.017017543859649122,0.21945701357466063,5603,97,345
0.06,0.017017543859649122,0.21945701357466063,5603,97,345
0.08,0.017017543859649122,0.21945701357466063,5603,97,345
0.1,0.017017543859649122,0.21945701357466063,5603,97,345
0.12,0.017017543859649122,0.21945701357466063,5603,97,345
0.14,0.01714386709084482,0.21945701357466063,5561,97,345
0.16,0.01778542742398164,0.2108843537414966,5136,93,348
0.18,0.021101139946640795,0.19863013698630136,4036,87,351
0.2,0.024078909196402667,0.18906605922551253,3364,83,356
0.22,0.02794819359236537,0.18552036199095023,2852,82,360
0.24,0.03015267175572519,0.17873303167420815,2541,79,363
0.26,0.03296703296703297,0.17084282460136674,2200,75,364
0.28,0.034944949736716135,0.16590909090909092,2016,73,367
0.3,0.03803486529318542,0.16252821670428894,1821,72,371
0.32,0.04184100418410042,0.1583710407239819,1603,70,372
0.34,0.04392587508579272,0.14545454545454545,1393,64,376
0.36,0.046153846153846156,0.1366742596810934,1240,60,379
0.38,0.05473098330241188,0.1340909090909091,1019,59,381
0.4,0.06077348066298342,0.125,850,55,385
0.42,0.06545454545454546,0.12272727272727273,771,54,386
0.44,0.06713286713286713,0.10983981693363844,667,48,389
0.46,0.07044410413476264,0.10526315789473684,607,46,391
0.48,0.07543859649122807,0.09862385321100918,527,43,393
0.5,0.07462686567164178,0.09153318077803203,496,40,397
0.52,0.074,0.08466819221967964,463,37,400
0.54,0.07692307692307693,0.0776255707762557,408,34,404
0.56,0.07616707616707617,0.07110091743119266,376,31,405
0.58,0.07734806629834254,0.0639269406392694,334,28,410
0.6,0.07507507507507508,0.057208237986270026,308,25,412
0.62,0.07667731629392971,0.0547945205479452,289,24,414
0.64,0.07167235494880546,0.04794520547945205,272,21,417
0.66,0.06827309236947791,0.0387243735763098,232,17,422
0.68,0.06276150627615062,0.03424657534246575,224,15,423
0.7000000000000001,0.06912442396313365,0.03409090909090909,202,15,425
0.72,0.07179487179487179,0.031818181818181815,181,14,426
0.74,0.07407407407407407,0.031746031746031744,175,14,427
0.76,0.062146892655367235,0.024943310657596373,166,11,430
0.78,0.06626506024096386,0.024943310657596373,155,11,430
0.8,0.04580152671755725,0.0136986301369863,125,6,432
0.8200000000000001,0.04201680672268908,0.01141552511415525,114,5,433
0.84,0.045871559633027525,0.011389521640091117,104,5,434
0.86,0.052083333333333336,0.011389521640091117,91,5,434
0.88,0.05063291139240506,0.009111617312072893,75,4,435
0.9,0.041666666666666664,0.00683371298405467,69,3,436
0.92,0.017241379310344827,0.002277904328018223,57,1,438
0.9400000000000001,0.019230769230769232,0.002277904328018223,51,1,438
0.96,0.022222222222222223,0.002277904328018223,44,1,438
0.98,0.0,0.0,28,0,438
