confidence,precision,recall,fp,tp,fn
0.0,0.06042296072507553,0.7692307692307693,5287,340,102
0.02,0.06042296072507553,0.7692307692307693,5287,340,102
0.04,0.06042296072507553,0.7692307692307693,5287,340,102
0.06,0.06042296072507553,0.7692307692307693,5287,340,102
0.08,0.06042296072507553,0.7692307692307693,5287,340,102
0.1,0.06042296072507553,0.7692307692307693,5287,340,102
0.12,0.06042296072507553,0.7692307692307693,5287,340,102
0.14,0.06087735004476276,0.7692307692307693,5245,340,102
0.16,0.06528477334366524,0.7624434389140271,4825,337,105
0.18,0.08099458394879369,0.744343891402715,3733,329,113
0.2,0.09516794342958161,0.7274774774774775,3071,323,121
0.22,0.1101871101871102,0.7146067415730337,2568,318,127
0.24,0.12175261729352463,0.7008928571428571,2265,314,134
0.26,0.13680926916221034,0.6914414414414415,1937,307,137
0.28,0.14764448761534726,0.680089485458613,1755,304,143
0.3,0.15899357601713063,0.6629464285714286,1571,297,151
0.32,0.17483363581367212,0.647982062780269,1364,289,157
0.34,0.1950207468879668,0.6337078651685393,1164,282,163
0.36,0.21345707656612528,0.6174496644295302,1017,276,171
0.38,0.25210084033613445,0.5986696230598669,801,270,181
0.4,0.28888888888888886,0.5739514348785872,640,260,193
0.42,0.31341463414634146,0.5673289183222958,563,257,196
0.44,0.340365682137834,0.5413870246085011,469,242,205
0.46,0.36,0.5246636771300448,416,234,212
0.48,0.3890845070422535,0.49887133182844245,347,221,222
0.5,0.39626168224299063,0.4785553047404063,323,212,231
0.52,0.39478957915831664,0.44772727272727275,302,197,243
0.54,0.41950113378684806,0.417607223476298,256,185,258
0.56,0.43842364532019706,0.40454545454545454,228,178,262
0.58,0.4447513812154696,0.36507936507936506,201,161,280
0.6,0.45345345345345345,0.3424036281179138,182,151,290
0.62,0.4696485623003195,0.3333333333333333,166,147,294
0.64,0.4812286689419795,0.3182844243792325,152,141,302
0.66,0.4779116465863454,0.2692307692307692,130,119,323
0.68,0.4769874476987448,0.2585034013605442,125,114,327
0.7000000000000001,0.5069124423963134,0.24719101123595505,107,110,335
0.72,0.5076923076923077,0.22448979591836735,96,99,342
0.74,0.5079365079365079,0.21768707482993196,93,96,345
0.76,0.5084745762711864,0.20408163265306123,87,90,351
0.78,0.5060240963855421,0.19004524886877827,82,84,358
0.8,0.5419847328244275,0.16099773242630386,60,71,370
0.8200000000000001,0.5378151260504201,0.14578587699316628,55,64,375
0.84,0.5321100917431193,0.13272311212814644,51,58,379
0.86,0.5520833333333334,0.12100456621004566,43,53,385
0.88,0.569620253164557,0.10250569476082004,34,45,394
0.9,0.5833333333333334,0.09545454545454546,30,42,398
0.92,0.5689655172413793,0.075,25,33,407
0.9400000000000001,0.5961538461538461,0.07029478458049887,21,31,410
0.96,0.5777777777777777,0.059496567505720827,19,26,411
0.98,0.5714285714285714,0.0367816091954023,12,16,419
