confidence,precision,recall,fp,tp,fn
0.0,0.01268183513614323,0.1559633027522936,5294,68,368
0.02,0.01268183513614323,0.1559633027522936,5294,68,368
0.04,0.01275797373358349,0.1559633027522936,5262,68,368
0.06,0.014455231930960086,0.1536697247706422,4568,67,369
0.08,0.018161497625034925,0.14908256880733944,3514,65,371
0.1,0.024018299656881435,0.1444954128440367,2560,63,373
0.12,0.031484257871064465,0.14383561643835616,1938,63,375
0.14,0.03407247160627366,0.14383561643835616,1786,63,375
0.16,0.03625730994152047,0.14187643020594964,1648,62,375
0.18,0.03850931677018633,0.14123006833712984,1548,62,377
0.2,0.03969270166453265,0.14123006833712984,1500,62,377
0.22,0.04394046775336641,0.14123006833712984,1349,62,377
0.24,0.04462326261887344,0.13926940639269406,1306,61,377
0.26,0.0496742671009772,0.1383219954648526,1167,61,380
0.28,0.0496215306980656,0.1340909090909091,1130,59,381
0.3,0.052775250227479524,0.1318181818181818,1041,58,382
0.32,0.05449330783938815,0.12954545454545455,989,57,383
0.34,0.05330700888450148,0.12272727272727273,959,54,386
0.36,0.05902004454342984,0.11990950226244344,845,53,389
0.38,0.060849598163030996,0.11990950226244344,818,53,389
0.4,0.06339712918660287,0.11963882618510158,783,53,390
0.42,0.0660024906600249,0.11963882618510158,750,53,390
0.44,0.06770833333333333,0.11738148984198646,716,52,391
0.46,0.06765899864682003,0.11286681715575621,689,50,393
0.48,0.06940509915014165,0.11085972850678733,657,49,393
0.5,0.06838905775075987,0.10180995475113122,613,45,397
0.52,0.07028753993610223,0.09932279909706546,582,44,399
0.54,0.07263513513513513,0.09706546275395034,549,43,400
0.56,0.07747747747747748,0.09706546275395034,512,43,400
0.58,0.07992202729044834,0.09276018099547512,472,41,401
0.6,0.07992202729044834,0.09276018099547512,472,41,401
0.62,0.08172043010752689,0.08597285067873303,427,38,404
0.64,0.08009708737864078,0.0746606334841629,379,33,409
0.66,0.07901907356948229,0.06531531531531531,338,29,415
0.68,0.0755287009063444,0.056433408577878104,306,25,418
0.7000000000000001,0.0755287009063444,0.056433408577878104,306,25,418
0.72,0.07903780068728522,0.05191873589164785,268,23,420
0.74,0.07692307692307693,0.04308390022675737,228,19,422
0.76,0.07906976744186046,0.038461538461538464,198,17,425
0.78,0.07906976744186046,0.038461538461538464,198,17,425
0.8,0.0663265306122449,0.029411764705882353,183,13,429
0.8200000000000001,0.04516129032258064,0.015873015873015872,148,7,434
0.84,0.029850746268656716,0.009070294784580499,130,4,437
0.86,0.008771929824561403,0.002277904328018223,113,1,438
0.88,0.008771929824561403,0.002277904328018223,113,1,438
0.9,0.009900990099009901,0.002277904328018223,100,1,438
0.92,0.011235955056179775,0.0022727272727272726,88,1,439
0.9400000000000001,0.011235955056179775,0.0022727272727272726,88,1,439
0.96,0.017241379310344827,0.0022727272727272726,57,1,439
0.98,0.025,0.0022727272727272726,39,1,439
